text	label
weaves a spell over you , with its disturbingly close-up look at damaged psyches and its subtle undercurrents of danger . but its awkward structure keeps breaking the spell . 	1
a beguiling splash of pastel colors and prankish comedy from disney . 	1
in her confusion and grief , she finds consolation in the friendship of their african-american gardener , raymond ( dennis haysbert ) - a socially taboo relationship that leads to the further disintegration of life as she knew it . 	0
this is unusual , food-for-thought cinema that's as entertaining as it is instructive . 	1
it's all going well for the very single eleanor , until she realizes it's all a ruse . 	0
it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya . 	1
nothing more than a widget cranked out on an assembly line to see if stupid americans will get a kick out of goofy brits with cute accents performing ages-old slapstick and unfunny tricks . 	1
comes off like a bad imitation of the bard . 	1
what they don't know , however , is that they're filming near the secret hideout of slobodan pavle , a serbian war criminal . 	0
all analyze that proves is that there is really only one movie's worth of decent gags to be gleaned from the premise . 	1
they come across each other again and want to make their fathers' wish come true , so they arrange for yoyo and cheung to meet in london . 	0
what blood work lacks in speed and surprise it almost makes up for in doughty professionalism . 	1
gigantic is the story of they might be giants , a unique musical group centered on john flansburgh and john linnell . 	0
blade's team and the bloodpack are the only line of defense which can prevent the reaper population from wiping out the vampire and human populations . 	0
it's a glorious groove that leaves you wanting more . 	1
a young reporter named rachel is investigating these events , but after she and her small son watch the tape , it becomes a race against time to find out why the tape is killing everyone and how it could be stopped . 	0
" "" washington heights "" tells the story of carlos ramirez , a young illustrator burning to escape the latino neighborhood of the same name to make a splash in new york city's commercial downtown comic book scene . "	0
brookdale has another , more lucrative facet ; a safe harbour for the chronically drug-addicted rich and famous , especially the sons and daughters of the above , whose families have tried everything . 	0
a much better documentary -- more revealing , more emotional and more surprising -- than its pedestrian english title would have you believe . 	1
he naively muddles through an underworld of illegal immigrants , immigration lawyers and the ins , and the love of an american girl of indian origin . 	0
works better in the conception than it does in the execution . . . winds up seeming just a little too clever . 	1
here the love scenes all end in someone screaming . maybe there's a metaphor here , but figuring it out wouldn't make trouble every day any better . 	1
his life is a whirl of seedy bars , seedier girlfriends and a wife two towns away . 	0
enroute , eagle reluctantly comes to the aid of romy , a sassy moll who has just stolen 600 her life . 	0
during the course of a single day all three will be faced with the difficult choice of choosing which path they will go down in life . 	0
this may not have the dramatic gut-wrenching impact of other holocaust films , but it's a compelling story , mainly because of the way it's told by the people who were there . 	1
egoyan's work often elegantly considers various levels of reality and uses shifting points of view , but here he has constructed a film so labyrinthine that it defeats his larger purpose . 	1
meanwhile , more people end up dead . . . 	0
only a supremely flexible talent like kinnear could whittle away at crane's nuances and come up with thespian gold . 	1
[t]his slop doesn't even have potential as a cult film , as it's too loud to shout insults at the screen . 	1
it's a beautifully accomplished lyrical meditation on a bunch of despondent and vulnerable characters living in the renown chelsea hotel . . . 	1
none of this is meaningful or memorable , but frosting isn't , either , and you wouldn't turn down a big bowl of that , would you ? 	1
the film stars jim caviezel as dantes , a sailor who is falsely accused of treason by his best friend fernand ( guy pearce ) , who wants dantes' girlfriend mercedes ( dagmara dominczyk ) for himself . 	0
" "" brown sugar "" admirably aspires to be more than another "" best man "" clone by weaving a theme throughout this funny film . "	1
he feels he is only an instrument of their greed . 	0
however , stacy finds that when someone is out to get you , the outside world is even more dangerous . 	0
ao sair do cinema , eu estava feliz e com saudades de um tempo em que , para mim , a exist�ncia de papai noel era um fato inquestion�vel . 	1
this spawn of william shakespeare and ray kroc has more fun with [the] thin premise than you might expect , mostly because of maura tierney . 	1
with those classes under her belt , she then takes over her aunt's travel agency ( again making her father think it's his idea ) . 	0
hilarious musical comedy though stymied by accents thick as mud . 	1
leggy zeta-jones is so hot in the 'all that jazz' number , she's flammable . and zellweger defines delicious . 	1
a droll , bitchy frolic which pokes fun at the price of popularity and small-town pretension in the lone star state . 	1
jimmy ( thomas ) is a highly educated barber with a superiority complex who can't stand isaac ( garity ) , the new , white barber who just wants a shot at cutting some hair . 	0
two women , one spoiled and clinging , the other unawakened but formidable . 	0
brings a rare , clinically specific sense of moral complexity and humanistic sympathy to the usual regimen of finger-pointing and exposure . 	1
what he doesn't expect is to get teamed up with a cocky civilian , world class boxing champion kelly robinson ( eddie murphy ) , on a dangerous top secret espionage mission . 	0
unfortunately things don't go as planned , and when the kids' van breaks down at an old slaughterhouse , they are hunted down one by one . . . 	0
in a time when , more often than not , sequels disappoint , it's refreshing to uncover something this high-profile that fulfils the promise of its name and adds another title to a storied legacy . 	1
good performances and a realistic , non-exploitive approach make paid in full worth seeing . 	1
the police have no clues nor suspects until nick and his colleague realize the killer is a giant octopus . 	0
it's one heck of a character study -- not of hearst or davies but of the unique relationship between them . 	1
matt was drunk and as he reached for the car radio , he struck the girl as she crossed the road . 	0
paravasu is the elder son of the great sage raibhya ( mohan agashe ) . 	0
"that is , until he falls in love with a cocktail waitress ( maria bello ) and gets "" lady luck , "" which throws the situation into reverse . "	0
instead of trying to bust some blondes , [diggs] should be probing why a guy with his talent ended up in a movie this bad . 	1
now , in the twilight of his life , emile shapes the final chapters of his mental autobiography . 	0
after letting his screenwriting software sit on his shelf for three years , he finally has the big idea that inspires him to load screenwriter 4 . 0 and get writing . 	0
nobody talks about what happened five years ago , but something shifts beneath the surface of their lives a secret that won't stay buried . 	0
the strength of the film lies in its two central performances by sven wollter as the stricken composer and viveka seldahl as his desperate violinist wife . 	1
a love triangle forms , with rachael , the least interested and keen to leave , but clues to her mothers whereabouts appear , as do her own problems which both rafe and matt wish to help with . 	0
a broad , melodramatic estrogen opera that's pretty toxic in its own right . 	1
the driver races to locate a kidnapped victim locked in the trunk of an abandoned car somewhere on the water's edge . 	0
it all plays out . . . like a high-end john hughes comedy , a kind of elder bueller's time out . 	1
it wraps up a classic mother/daughter struggle in recycled paper with a shiny new bow and while the audience can tell it's not all new , at least it looks pretty . 	1
even when he's not at his most critically insightful , godard can still be smarter than any 50 other filmmakers still at work . 	1
bogdanich is unashamedly pro-serbian and makes little attempt to give voice to the other side . 	1
it's fitting that a movie as artificial and soulless as the country bears owes its genesis to an animatronic display at disneyland . 	1
holofcener sees all of her characters as loving and amazing and she spreads the love to each . 	1
message movie or an action-packed submarine spectacular ? alas , it's neither . 	1
the film is way too full of itself ; it's stuffy and pretentious in a give-me-an-oscar kind of way . 	1
impostor has a handful of thrilling moments and a couple of good performances , but the movie doesn't quite fly . for starters , the story is just too slim . 	1
on a concert tour in india , they marry at a secret and romantic ceremony without any press attention . 	0
while working a car insurance scam , toni cutter , a female con artist , accidentally turns a routine collision into a fatality and exposes her lawyer and lover , stephen tally , to felony murder charges from the district attorney . 	0
20 , 000 years before , our planet is entering an ice age . 	0
 . . . a boring parade of talking heads and technical gibberish that will do little to advance the linux cause . 	1
'you'll laugh for not quite and hour and a half , but come out feeling strangely unsatisfied . you'll feel like you ate a reeses without the peanut butter . . . '	1
makes the sweet case that sincerity strikes the biggest romantic sparks . 	1
when the secret codes controlling a killer nuclear satellite are stolen by the world's most dangerous criminal , america's best agent teams up with a brittish beauty to recover the codes in an endgame of action , betrayal and intrigue . 	0
the movie wavers between hallmark card sentimentality and goofy , life-affirming moments straight out of a cellular phone commercial . 	1
what jackson has accomplished here is amazing on a technical level . 	1
after healing a woman of a stroke , william picks up another pastor who desires to learn the deeper things of god . 	0
 . . . watching this film nearly provoked me to take my own life . and if the hours wins 'best picture' i just might . 	1
a gob of drivel so sickly sweet , even the eager consumers of moore's pasteurized ditties will retch it up like rancid cr�me br�l�e . 	1
a woman who has recently discovered that she is the daughter of angelo , a major mafia boss , decides to wreak vengeance when he is killed by a hitman . 	0
danny is antagonized by undercover narcotics agents ( anthony lapaglia and doug hutchison ) and sadistic dealer pooh bear ( vincent d'onfronio ) . 	0
a gracious , eloquent film that by its end offers a ray of hope to the refugees able to look ahead and resist living in a past forever lost . 	1
exudes the fizz of a busby berkeley musical and the visceral excitement of a sports extravaganza . 	1
he falls for hunky diner owner matt , who falls just as hard back . 	0
"perry's good and his is an interesting character , but "" serving sara "" hasn't much more to serve than silly fluff . nor is it a romantic comedy . "	1
when the king meets the god in a face-to-face confrontation , the result takes on a horrible logic all its own . 	0
ever have one of those lifetimes where nothing seems to go right ? 	0
nothing short of a respectful testament to the ingenious creative drive of the outsider . 	1
the killer is getting closer , revealing more and more of his madness . 	0
the best way to describe it is as a cross between paul thomas anderson's magnolia and david lynch's mulholland dr . 	1
with nothing to go on but his dreams and gut instinct , vince launches into his own search for ellen . . . or is he really searching for sara ? 	0
silicon valley 1999 : a new gold rush is sweeping through california . 	0
harboring a secret , john guides angela to a shocking realization that will uncover the past . 	0
the hot topics of the plot are relegated to the background -- a welcome step forward from the sally jesse raphael atmosphere of films like philadelphia and american beauty . 	1
he is living a life of luxury in a huge mansion and a mercedes in the driveway . 	0
rebuffed in love and uncertain of life , simon is the story of a young englishman's physical and spiritual journey during algeria's battle for independence from france . 	0
the teddy bear syndrome a dramatization based on actual events . 	0
the movie , while beautiful , feels labored , with a hint of the writing exercise about it . 	1
together , they develop a criminal energy that knows no boundaries and leads them to cold-blooded murder . . . 	0
14-year-old meredith attempts to maintain a religious vow of silence during a thanksgiving dinner with her agnostic family . 	0
with the support of her best friend wilma watson and their draft-dodging companion will bacon , emily is able to stand by her convictions in a household dominated by the standards of a salt-of-the-earth father and an unconditionally loving mother . 	0
becoming fast friends , they soon both moved with their families near coney island , where they became active community leaders . 	0
this is as respectful a film as byatt fans could hope for , though lovers of the book may wonder why it's necessary . 	1
poets concentrates on locations and issues within the uk and in an oblique way referencing poetry to the topography , at first seemingly random and esoterical , slowly and ultimately questioning the very nature of our british culture and heritage . 	0
all of the elements are in place for a great film noir , but director george hickenlooper's approach to the material is too upbeat . 	1
"but buying into sham truths and routine "" indie "" filmmaking , freundlich has made just another safe movie . it's not horrible , just horribly mediocre . "	1
as a director , mr . ratliff wisely rejects the temptation to make fun of his subjects . 	1
in 1968 poland expelled the last remaining jews from what once used to be the largest jewish settlement in the world , effectively ending over thousand year long history . 	0
a movie far more cynical and lazy than anything a fictitious charlie kaufman might object to . 	1
she's aided by his faithful bodyguard , with whom she soon falls in love . 	0
tonight there's a dancing competition at the hottest salsa restaurant in copenhagen . 	0
starts slowly , but adrien brody � in the title role � helps make the film's conclusion powerful and satisfying . 	1
sarah , an unfulfilled , calculating wife , takes pleasure in having her voyeuristic lover watch her on video cameras that she has hidden inside the vents of her house . 	0
to the vast majority of more casual filmgoers , it will probably be a talky bore . 	1
into their midst come a hotshot american , van zan ( matthew mcconaughey ) , who says he has a way to kill the beasts and save mankind - a way quinn's never seen done . 	0
she drags along her best friend marie ( jenny ) , and marie's boyfriend sean ( john ) and kid brother scott ( jonathan ) . 	0
despite the film's shortcomings , it's still a solid effort and a thought-provoking look at idealism gone wrong . 	1
beary , a young bear raised by a human family in a world where humans and talking bears coexist , attempts to trace his roots . 	0
they succeed in blowing up what they believe to be the main operations room , but are soon forced to make their escape as the entire compound unexpectedly erupts with gunfire and explosions . 	0
the documentary makes no waves and tries to be as upbeat as the musicians it tells about . 	1
the worst pain for him is the next 5 minutes of living . 	0
she wants justice and will do anything to get it . 	0
this throws him in with the minister's daughter , you guessed it , the mousy seemingly awkward yet beautiful girl with an angelic heart , and she sings too . 	0
so saccharine , i'm not sure i'd be able to take it under normal conditions . 	1
his determination is turned to desperation by a personal tragedy that now drives him to want to change the past . 	0
a private eye in the mold of those great 40's movie detectives . 	0
a chained to a rock finnish sniper-kamikadze wille managed to set himself free . 	0
his dog is missing and he suspects the people at work might be behind it . 	0
the cumulative effect of watching this 65-minute trifle is rather like being trapped while some weird relative trots out the video he took of the family vacation to stonehenge . before long , you're desperate for the evening to end . 	1
in a classic homage to chinese martial arts films , he is involved in intense hand to hand combat including sword fighting , guns , car chases , and other ingenious forms of fighting to mame and kill these tong members . 	0
does what a fine documentary does best : it extends a warm invitation into an unfamiliar world , then illuminates it fully and allows the larger implications of the journey to sink in unobtrusively . 	1
stiles takes red green and the other lodge members to court , forcing them to come up with $10 , 000 in damages in ten days - or else lose their beloved possum lodge . 	0
a civil war veteran , turned winchester guns spokeman , the captain woodrow algren , arrives japan in the late 1870s to train the troops of the emperor meiji , as a part of break away from the long-held tradition of relying on employed samurai warriors to protect territories , as meiji&#180 ; s new army prepares to wipe out the remaining samurais . 	0
surfing his first big break in pictures , young actor reverend heads for the big-time in hollywood . 	0
you may feel compelled to watch the film twice or pick up a book on the subject . 	1
the film focuses on christopher hitchens' charges against henry kissinger as a war criminal - allegations documented in hitchens' book of the same title - based on his role in countries such as cambodia , chile , and indonesia . 	0
based on a true story , this is about the irish journalist veronica guerin ( cate blanchett ) , a reporter for the dublin sunday independent , who exposed some of dublin's most powerful crime barons and drug lords in 1996 . 	0
 . . . plays like a badly edited , 91-minute trailer ( and ) the director can't seem to get a coherent rhythm going . in fact , it doesn't even seem like she tried . 	1
"in these modern times where phrases like "" two income families "" are the norm , is it wrong for a woman to want to stay home and raise a family ? "	0
he can talk and drive around all by himself . 	0
it recycles every clich� about gays in what is essentially an extended soap opera . 	1
un thriller manqu� qui tombe sur les nerfs presque d�s la premi�re image . 	1
as a good old-fashioned adventure for kids , spirit : stallion of the cimarron is a winner . 	1
without [de niro] , city by the sea would slip under the waves . he drags it back , single-handed . 	1
a moving love story and thought-provoking drama about a young catholic nurse who secretly falls in love with a terminally-ill boy in the proper world of 1957 . 	0
a smug and convoluted action-comedy that doesn't allow an earnest moment to pass without reminding audiences that it's only a movie . 	1
even in the summertime , the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities . 	1
the movie's progression into rambling incoherence gives new meaning to the phrase 'fatal script error . '	1
and for her honor , it will be named 'paradise-casino' . 	0
that such a horrible movie could have sprung from such a great one is one of the year's worst cinematic tragedies . 	1
later , otte distributes the donations he's collected throughout the year . 	0
inside the breathtaking structure , they discover wondrous artifacts of an advanced , but long dead , civilization . 	0
dreary , highly annoying . . . 'some body' will appeal to no one . 	1
the movie suffers from two fatal ailments -- a dearth of vitality and a story that's shapeless and uninflected . 	1
the journey to the secret's eventual discovery is a separate adventure , and thrill enough . 	1
it is a dark comedy that challenges the traditional ideas of marriage and questions the societal values of money and sex . 	0
in the meantime , the british forces , back at the encampment , march off to meet the american forces for a grand battle , which will rage for hours . 	0
she has two men in her life : wealthy divorcee ray porter ( steve martin ) and struggling musician jeremy . 	0
when one of them tells the other a rumor that he might be a homicidal maniac they are all scared of him . 	0
though talk in the film often turns to death , khatra's enthusiasm and love of life keep the movie surprisingly upbeat . 	1
but there is a political dilemma : if someone is arrested before he commits a murder , can the person be accused of the murder , which - because of the arrest - never took place ? 	0
black picket fence is director's sergio goes' poignant portrait of the bleak realities of life in the public housing projects of brooklyn's east new york , one of the inner city's most dangerous and violent neighborhoods . 	0
filmed in a california maximum security prison , the series is a look into the world of street and prison gangs , which ask is there a way out for these men who have dedicated their lives to gangs . 	0
the best of the pierce brosnan james bond films to date . 	1
it's fun , wispy , wise and surprisingly inoffensive for a film about a teen in love with his stepmom . 	1
sandler , in trusting his director , gives a performance that declares the star a genuinely fine actor . 	1
in return for a small plot of land , george agrees to search for princess lunna . 	0
a lean , surprisingly artful programmer , closer in spirit to something like don siegel's riot in cell block 11 than to typical boxing fare . 	1
lessons abound for the students and teacher culminating in a reunion 25 years later . 	0
when a shoulder injury ended his minor league pitching career twelve years ago , jim morris resorted to the next best thing : coaching . 	0
samantha noble ( elizabeth berkley ) is a high-profile magazine editor . 	0
imagine a film that begins as a seven rip-off , only to switch to a mix of the shining , the thing , and any naked teenagers horror flick from the 1980s . 	1
this is a heartfelt story . . . it just isn't a very involving one . 	1
he awakes to what appears to be the next morning only to find that he is one year into the future and is an escaped convict for the murder of his fianc&#233 ; e . 	0
but slowly , their teenage-son alan ( kristian horn ) got suspicious that henry isn't his father . 	0
in capturing the understated comedic agony of an ever-ruminating , genteel yet decadent aristocracy that can no longer pay its bills , the film could just as well be addressing the turn of the 20th century into the 21st . 	1
it's her millionaire boss , george wade ( hugh grant ) . 	0
along the way , the filmmakers try to learn from these relationship veterans , while navigating their own fledgling polyamorous relationships . 	0
it won't hold up over the long haul , but in the moment , finch's tale provides the forgettable pleasures of a saturday matinee . 	1
it all leads to more tragedy and the movie jumps to 12 years later . 	0
trying to make head or tail of the story in the hip-hop indie snipes is enough to give you brain strain -- and the pay-off is negligible . 	1
he's in the southwest , headed toward mexico , when he picks up bennie , a woman leaving an abusive marriage , going to paradise , arizona . 	0
with an unflappable air of decadent urbanity , everett remains a perfect wildean actor , and a relaxed firth displays impeccable comic skill . 	1
in a season of strenuously ambitious art , the laid-back modesty and accessible charm of evelyn is a welcome relief . 	1
max , a self-declared sugarholic , might be just what stan needs , and he , the answer to her addictions . 	0
heartwarming and gently comic even as the film breaks your heart . 	1
blade then tenuously enters into an alliance with the bloodpack , an elite team of vampires trained in all modes of combat to defeat the reaper threat . 	0
watching spirited away is like watching an eastern imagination explode . 	1
when the skittish emma finds blood on her pillow why does she still stay behind ? 	0
it suggests the wide-ranging effects of media manipulation , from the kind of reporting that is done by the supposedly liberal media . . . to the intimate and ultimately tragic heartache of maverick individuals like hatfield and hicks . 	1
although some viewers will not be able to stomach so much tongue-in-cheek weirdness , those who do will have found a cult favorite to enjoy for a lifetime . 	1
"acting , particularly by tambor , almost makes "" never again "" worthwhile , but [writer/director] schaeffer should follow his titular advice"	1
gives an intriguing twist to the french coming-of-age genre . 	1
"his surrounding is a peaceful dreamplace called "" shangri-la "" . "	0
a surprisingly good-natured throwback to the '80s heyday of the body-switching genre . 	1
the dialogue is very choppy and monosyllabic despite the fact that it is being dubbed . 	1
he tries to distract charlie any way he can . 	0
the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately don't enable them to discern flimsy screenplays . 	1
open-ended and composed of layer upon layer , talk to her is a cinephile's feast , an invitation to countless interpretations . 	1
jason x has cheesy effects and a hoary plot , but its macabre , self-deprecating sense of humor makes up for a lot . 	1
if swimfan does catch on , it may be because teens are looking for something to make them laugh . 	1
still suffering from her hangover , julie doesn't realize that ellen is missing when the school bus leaves the cemetery . 	0
as he spirals into a series of hallucinations , the line between his sister's death and ellen's disappearance blurs . 	0
the council reluctantly admits that they are in a dire situation and they require blade's assistance . 	0
the story of trouble every day . . . is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie's fragmentary narrative style makes piecing the story together frustrating difficult . 	1
it just goes to show , an intelligent person isn't necessarily an admirable storyteller . 	1
though lan yu lacks a sense of dramatic urgency , the film makes up for it with a pleasing verisimilitude . 	1
a malediction passed from generation to generation has it that any woman in her family who sings will die . 	0
as in his other searingly intelligent docs , dong presents the facts in an admirably clear-eyed way . 	1
it tends to remind one of a really solid woody allen film , with its excellent use of new york locales and sharp writing	1
a documentary which revolves around a shelter for battered women in tampa , florida . 	0
"a virus has scaped in a secret facility called "" the hive "" turning all researchers into hungry zombies and releasing their mutated lab "" animals "" that they were studying . "	0
as she makes her way through the dazed world of the city's junkies , only one person seems able to provide any help : the obsessive and self-destructive miles , the last of the city's security officers . 	0
from the opening scenes , it's clear that all about the benjamins is a totally formulaic movie . 	1
as both marly and desiree grapple with the sometimes overwhelming weight of family history and family expectations , and wrestle with questions of love , duty and responsibility , the tale offers a portrait of two women , two families , and two communities standing on the brink of change . 	0
betting xxx can succeed where other conventional spies have failed , gibbons sends xxx to enter this world of crime undetected , using his natural athletic prowess and a whole lot of attitude . 	0
blue crush is as predictable as the tides . . . . the movie feels stitched together from stock situations and characters from other movies . 	1
a librarian begins a passionate affair with a mysterious woman who walks into his library . 	0
would anyone believe mary and joe's claim to abstinence ? 	0
attal's hang-ups surrounding infidelity are so old-fashioned and , dare i say , outdated , it's a wonder that he couldn't have brought something fresher to the proceedings simply by accident . 	1
all while jolynn is persued by a masculine , toothpick chewing sheriff . 	0
ling min becomes the manager of haier factory when the factory is almost bankrupted . 	0
he accidentally discovers that the chinese mafia , the tong , is using his newly discovered ancient chinese artifacts to hide and smuggle narcotics across the border . 	0
sure to stir up some controversy , callous sentiment is a true depiction of how violence can affect ones psyche . 	0
 . . . is there a deeper , more direct connection between these women , one that spans time and reveals meaning ? you bet there is and it's what makes this rather convoluted journey worth taking . 	1
the teen must decide whether to become immortal and stay with a tuck she's fallen in love with . 	0
nete's father moves in and puts even more strain on nete's family and everyday life . 	0
he dies before he gets a chance to communicate with the spirit and his dead body with the ouija board is left to the devices to his strung out friends . 	0
" "" ox "" anderson , much greener , is also getting the same new task : protect the navajo codetalkers ( ben yahzee and charles whitehorse , respectively ) . "	0
pauly then fakes his own death , and the media goes crazy . 	0
"tiz's best friend mel is a veteran of the "" drug game "" and has spent some part of every year in prison since he was twelve . "	0
it's supposed to be a romantic comedy - it suffers from too much norma rae and not enough pretty woman . 	1
to spite the hated infidel ways of her father , she has settled into a complacent relationship and is struggling ( not too hard ) with issues of fidelity to her kind but unexciting husband . 	0
rock's stand-up magic wanes . hopkins , squarely fills the screen . action - mechanical . 	1
ice age posits a heretofore unfathomable question : is it possible for computer-generated characters to go through the motions ? 	1
with dickens' words and writer-director douglas mcgrath's even-toned direction , a ripping good yarn is told . 	1
poor ben bratt couldn't find stardom if mapquest emailed him point-to-point driving directions . 	1
jason patric and ray liotta make for one splendidly cast pair . 	1
there aren't enough jedi to defend the republic against the threat , so chancellor palpatine enlists the aid of jango fett , who promises that his army of clones will handle the situation . 	0
flounders due to the general sense that no two people working on the production had exactly the same thing in mind . 	1
in a time when a woman's place was in the home , young emily ventures out and falls in love with a young soldier , eventually carrying his baby out of wedlock . 	0
j&#243 ; hann is a 30 year old guesthouse owner isolated from the outside world following the death of his father . 	0
directed without the expected flair or imagination by hong kong master john woo , windtalkers airs just about every cliche in the war movie compendium across its indulgent two-hour-and-fifteen-minute length . 	1
she meets ian miller , a high school english teacher , wasp , and dreamboat she had made a fool of herself over at the restaurant ; they date secretly for a while before her family finds out . 	0
the movie fails to portray its literarily talented and notorious subject as anything much more than a dirty old man . 	1
"in the outback and through the bush with his wife terri's ever-present commentary ringing out over the countryside ( "" that was a close one , steve ! "" ) , the crocodile hunter is out to save the gorgeous croc and relocate him . "	0
the film is just a big , gorgeous , mind-blowing , breath-taking mess . 	1
arvasu prepares to marry outside his brahmin caste - but for this , according to the tribal custom , he has to present himself before nittilai's village elders . 	0
a distant , even sterile , yet compulsively watchable look at the sordid life of hogan's heroes star bob crane . 	1
narc is a no-bull throwback to 1970s action films . it zips along with b-movie verve while adding the rich details and go-for-broke acting that heralds something special . 	1
regulus features recently declassified footage , as well as interviews with the submariners , rocket scientists , and test pilots involved in the development and deployment of the weapon . 	0
will these four be able to move on with their lives and accept the fact that it's time to start acting their age ? 	0
an unintentionally surreal kid's picture . . . in which actors in bad bear suits enact a sort of inter-species parody of a vh1 behind the music episode . 	1
there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to uncover it . 	1
they both end up experiencing more excitement than mickey could ever conjure in orlando , when they meet up with bad guys and a legendary creature . 	0
fundamentally , john learns that love and a sense of purpose are more powerful and more valuable than money . 	0
as his family is rounded up to be shipped off to the nazi labor camps , he escapes deportation and eludes capture by living in the ruins of warsaw . 	0
horns and halos benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth . 	1
the sister kills herself when she finds out there is no money to pay for her transplant , and while he is burying her body near the stream they used to play in , the daughter accidentally drowns . 	0
finally paula , who ran away from home and got pregnant , is now in a relationship she doesn't want . 	0
"the film , a follow-up to "" jack the dog "" , is described as a black comedy about a reformed womanizer ( nestor carbonell ) who struggles to keep his family together . "	0
in the cutthroat world of children's television , rainbow randolph , the corrupt , costumed star of a popular children's tv show , is fired over a bribery scandal and replaced by squeaky-clean smoochy , a puffy fuscia rhinoceros . 	0
it's a compelling and horrifying story , and the laramie project is worthwhile for reminding us that this sort of thing does , in fact , still happen in america . 	1
but as she comes home , she opens a mysterious door that leads her to an artificial world : the holo-deck . 	0
a winning crowd-pleaser with more than enough juice to crossover with fans of all stripes , regardless of whether they even know anything about soccer or not . 	1
the game's mastermind has stolen his identity , put him on the fbi's most wanted list , and is blackmailing him to take a part in a real twisted plan of world destruction . 	0
highlights are the terrific performances by christopher plummer , as the prime villain , and nathan lane as vincent crummles , the eccentric theater company manager . 	1
ted norwood summons all his resistance to finally quit his seemingly successful carreer , only to be outmaneuvered by a powerful executive who barely even notices that she's in a test of wills . 	0
unfortunately , her plan goes wrong , and she actually kills herself . 	0
